family	execution_arch	source	catalogue_generation	catalogue_label	canonical_id	current_display	weight_file	presentation_flags	waiver_reasons	review_status
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | DeReverb-Echo by Sucial	mdx:dereverb-echo_mel_band_roformer_sdr_10.0169	MelBand Roformer — DeReverb-Echo · Sucial	dereverb-echo_mel_band_roformer_sdr_10.0169.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | Duality v1 by Aname	mdx:model_MelBand-Roformer_Duality_v1_by-Aname	MelBand Roformer — Duality v1 · Aname	model_MelBand-Roformer_Duality_v1_by-Aname.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | 4-stems FT Large v1 by SYH99999	mdx:MelBand_Roformer_4stems_FT_Large_v1_by_SYH99999	MelBand Roformer — Fine-Tuned Large v1 (4 Stems) · SYH99999	MelBand_Roformer_4stems_FT_Large_v1_by_SYH99999.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | 4-stems FT Large v2 by SYH99999	mdx:MelBand_Roformer_4stems_FT_Large_v2_by_SYH99999	MelBand Roformer — Fine-Tuned Large v2 (4 Stems) · SYH99999	MelBand_Roformer_4stems_FT_Large_v2_by_SYH99999.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | Guitar by becruily	mdx:melband_roformer_guitar_becruily	MelBand Roformer — Guitar · Becruily	melband_roformer_guitar_becruily.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | Instrumental Bleedless v1 by Gabox	mdx:mel_band_roformer_inst_bleedless_v1_gabox	MelBand Roformer — Instrumental Bleedless v1 · Gabox	mel_band_roformer_inst_bleedless_v1_gabox.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | Instrumental Bleedless v2 by Gabox	mdx:mel_band_roformer_inst_bleedless_v2_gabox	MelBand Roformer — Instrumental Bleedless v2 · Gabox	mel_band_roformer_inst_bleedless_v2_gabox.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | Instrumental DeNoise-DeBleed by Gabox	mdx:mel_band_roformer_inst_denoise_debleed_gabox	MelBand Roformer — Instrumental DeNoise-DeBleed · Gabox	mel_band_roformer_inst_denoise_debleed_gabox.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | Instrumental Fullness v1 by Gabox	mdx:mel_band_roformer_inst_fullness_v1_gabox	MelBand Roformer — Instrumental Fullness v1 · Gabox	mel_band_roformer_inst_fullness_v1_gabox.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | Instrumental Fullness v2 by Gabox	mdx:mel_band_roformer_inst_fullness_v2_gabox	MelBand Roformer — Instrumental Fullness v2 · Gabox	mel_band_roformer_inst_fullness_v2_gabox.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | Instrumental Fullness v3 by Gabox	mdx:mel_band_roformer_inst_fullness_v3_gabox	MelBand Roformer — Instrumental Fullness v3 · Gabox	mel_band_roformer_inst_fullness_v3_gabox.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | Instrumental Fullness v4 Noise by Gabox	mdx:mel_band_roformer_inst_fullness_v4_noise_gabox	MelBand Roformer — Instrumental Fullness v4 Noise · Gabox	mel_band_roformer_inst_fullness_v4_noise_gabox.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | Instrumental Fullness v5 Noise by Gabox	mdx:mel_band_roformer_inst_fullness_v5_noise_gabox	MelBand Roformer — Instrumental Fullness v5 Noise · Gabox	mel_band_roformer_inst_fullness_v5_noise_gabox.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | Instrumental Fullness v5 by Gabox	mdx:mel_band_roformer_inst_fullness_v5_gabox	MelBand Roformer — Instrumental Fullness v5 · Gabox	mel_band_roformer_inst_fullness_v5_gabox.ckpt			clean
